testcaseId,sscTag,label,2024-11-01,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01,2025-12-01,2026-01-01,2026-02-01,total
TF13,6000,Reisespesen,,,,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,5500.0
TF14,1000,Monatslohn,,,,,,,,,,,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,15000.0
TF14,1005,Stundenlohn,1875.0,3250.0,3000.0,2875.0,4000.0,2375.0,3500.0,3500.0,3125.0,4250.0,,,,,,,31750.0
TF14,1160,Ferienvergütung Stundenlohn,156.2,270.75,249.9,239.5,333.2,197.85,291.55,291.55,260.3,354.05,,,,,,,2644.85
TF14,1161,Feiertagsentschädigung Stundenlohn,75.0,130.0,120.0,115.0,160.0,95.0,140.0,140.0,125.0,170.0,,,,,,,1270.0
TF14,1201,13. Monatslohn Stundenlohn,175.45,304.1,280.7,269.0,374.3,222.25,327.5,327.5,292.4,397.7,,,,,,,2970.90
TF14,1962,Mitarbeiteroptionen,,,,,,,,,,,,10000.0,,,,,10000.0
TF14,5210,Ausgleich geldwerte Vorteile,,,,,,,,,,,,10000.0,,,,,10000.0
TF14,6000,Reisespesen,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,3200.0
TF15,1006,Lektionenlohn,,,,,2800.35,,,,,,,,,,,,2800.35
TF15,6000,Reisespesen,,,,,257.5,,,,,,,,,,,,257.5
TF15,6020,Effektive Spesen Expatriates,,,,,500.0,,,,,,,,,,,,500.0
TF16,1010,Honorare,9458.35,8895.0,,14350.6,10214.45,,,,,,,,,,,,42918.40
TF16,1212,Sonderzulage,3000.0,,,5000.0,4000.0,,,,,,,,,,,,12000.0
TF16,1971,Vom AG übern. AN-Anteil KTG,,250.0,,,,,,,,,,,,,,,250.0
TF16,1977,Vom AG übern. Säule 3 b,150.0,150.0,,150.0,150.0,,,,,,,,,,,,600.0
TF16,1978,Vom AG übern. Säule 3 a,350.0,350.0,,350.0,350.0,,,,,,,,,,,,1400.0
TF16,5050,BVG-Beitrag,758.33,758.33,,,,,,,,,,,,,,,1516.66
TF16,5210,Ausgleich geldwerte Vorteile,500.0,750.0,,500.0,500.0,,,,,,,,,,,,2250.0
TF16,6000,Reisespesen,300.0,300.0,,600.0,300.0,,,,,,,,,,,,1500.0
TF17,1000,Monatslohn,,,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,4550.0,,,54600.0
TF17,1210,Bonuszahlung,,,,,,,,,,,,,2000.0,,,,2000.0
TF17,5050,BVG-Beitrag,,,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,318.5,,,3822.0
TF18,1005,Stundenlohn,,,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,2625.0,2170.0,1855.0,2485.0,1225.0,1225.0,19985.0
TF18,1160,Ferienvergütung Stundenlohn,,,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,218.65,180.75,154.5,207.0,102.05,102.05,1664.60
TF18,1161,Feiertagsentschädigung Stundenlohn,,,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,105.0,86.8,74.2,99.4,49.0,49.0,799.4
TF18,5050,BVG-Beitrag,,,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,76.44000000000001,89.18,89.18,1095.64000000000012
TF19,1000,Monatslohn,,,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0,,,31200.0
TF19,1200,13. Monatslohn,,,,,,,,,,,,,,2600.0,,,2600.0
TF19,5050,BVG-Beitrag,,,197.16,197.16,197.16,197.16,197.16,197.16,197.16,197.16,197.16,197.16,197.16,197.16,,,2365.92
TF20,1000,Monatslohn,,,2000.0,2000.0,2000.0,,,,,,,,,,,,6000.0
TF20,1001,Lohnkorrektur,,,,,-1000.0,,,,,,,,,,,,-1000.0
TF20,1200,13. Monatslohn,,,,,416.65,,,,,,,,,,,,416.65
TF20,1212,Sonderzulage,,,,4500.0,,,,,,,,,,,,,4500.0
TF20,1401,Abgangsentschädigung (AHV-pflichtig),,,,,500.0,,,,,,,,,,,,500.0
TF20,5050,BVG-Beitrag,,,173.33,173.33,173.33,,,,,,,,,,,,519.99
TF21,1000,Monatslohn,,,2000.0,2000.0,2000.0,,,,,,,,,,,,6000.0
TF21,1001,Lohnkorrektur,,,,,-1000.0,,,,,,,,,,,,-1000.0
TF21,1200,13. Monatslohn,,,,,416.65,,,,,,,,,,,,416.65
TF21,1212,Sonderzulage,,,,4500.0,,,,,,,,,,,,,4500.0
TF21,1401,Abgangsentschädigung (AHV-pflichtig),,,,,500.0,,,,,,,,,,,,500.0
TF21,5050,BVG-Beitrag,,,151.67,151.67,151.67,,,,,,,,,,,,455.01
TF22,1005,Stundenlohn,,,4550.0,4200.0,4375.0,4725.0,4025.0,3500.0,4900.0,4025.0,4550.0,3150.0,4200.0,4550.0,1400.0,3360.0,55510.0
TF22,1160,Ferienvergütung Stundenlohn,,,379.0,349.85,364.45,393.6,335.3,291.55,408.15,335.3,379.0,262.4,349.85,379.0,116.6,279.9,4623.95
TF22,1161,Feiertagsentschädigung Stundenlohn,,,182.0,168.0,175.0,189.0,161.0,140.0,196.0,161.0,182.0,126.0,168.0,182.0,56.0,134.4,2220.4
TF22,3000,Kinderzulage,,,,,,,,,,,,,,,,215.0,215.0
TF22,3034,Geburtszulage,,,,,,,,,,,,,,,,3000.0,3000.0
TF22,5050,BVG-Beitrag,,,151.66,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83,320.83,311.9,311.9,4304.59
TF23,1000,Monatslohn,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,60000.0
TF23,1200,13. Monatslohn,,,,,,,,,,,,,,5000.0,,,5000.0
TF23,1210,Bonuszahlung,,,,30000.0,,,,,,,,,,,,,30000.0
TF23,3000,Kinderzulage,,,,,,,,,,,,215.0,215.0,215.0,,,645.0
TF23,5050,BVG-Beitrag,,,379.16,379.16,379.16,379.16,379.16,379.16,379.16,379.16,379.16,379.16,379.16,379.16,,,4549.92
TF24,1000,Monatslohn,,,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,11000.0,11000.0,11000.0,11000.0,11000.0,11000.0,,,114000.0
TF24,1200,13. Monatslohn,,,,,,,,,,,,,,9500.0,,,9500.0
TF24,5050,BVG-Beitrag,,,606.67,606.67,606.67,606.67,606.67,606.67,834.17,834.17,834.17,834.17,834.17,834.17,,,8645.04
TF25,1000,Monatslohn,,,,12000.0,12000.0,12000.0,12000.0,12000.0,,,,,,,,,60000.0
TF25,1001,Lohnkorrektur,,,,-4000.0,,,,-6000.0,,,,,,,,,-10000.0
TF25,1200,13. Monatslohn,,,,,,,,4166.65,,,,,,,,,4166.65
TF25,5050,BVG-Beitrag,,,,910.0,910.0,910.0,910.0,910.0,,,,,,,,,4550.0
TF26,1000,Monatslohn,,,,12000.0,12000.0,12000.0,12000.0,12000.0,,,,,,,,,60000.0
TF26,1001,Lohnkorrektur,,,,-4000.0,,,,-6000.0,,,,,,,,,-10000.0
TF26,1200,13. Monatslohn,,,,,,,,4166.65,,,,,,,,,4166.65
TF26,5050,BVG-Beitrag,,,,910.0,910.0,910.0,910.0,910.0,,,,,,,,,4550.0
TF27,1000,Monatslohn,,,,,,,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,100000.0
TF27,1210,Bonuszahlung,,,,,,,,,,,,,,,,30000.0,30000.0
TF27,5050,BVG-Beitrag,,,,,,,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,8000.0
TF28,1000,Monatslohn,,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,,,72000.0
TF28,1067,Ueberzeit nach Austritt,,,,,,,,,,,,,,,2000.0,,2000.0
TF28,1168,Ferienauszahlung nach Austritt,,,,,,,,,,,,,,,3000.0,,3000.0
TF28,1200,13. Monatslohn,,,,,,,,,,,,,,6000.0,,,6000.0
TF28,1209,Bonuszahlung Vorjahr,,,,,,,,,,,,,,,,15000.0,15000.0
TF28,1216,Verbesserungsvorschläge,,,,20000.0,,,,,,,,,,,,,20000.0
TF28,5050,BVG-Beitrag,,,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,,,6240.0
TF29,1000,Monatslohn,,,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,6000.0,,,72000.0
TF29,1001,Lohnkorrektur,,,,,,,,,,,,,,,2000.0,,2000.0
TF29,1067,Ueberzeit nach Austritt,,,,,,,,,,,,,,,2000.0,,2000.0
TF29,1168,Ferienauszahlung nach Austritt,,,,,,,,,,,,,,,3000.0,,3000.0
TF29,1200,13. Monatslohn,,,,,,,,,,,,,,6000.0,,,6000.0
TF29,1209,Bonuszahlung Vorjahr,,,,,,,,,,,,,,,,15000.0,15000.0
TF29,1216,Verbesserungsvorschläge,,,,20000.0,,,,,,,,,,,,,20000.0
TF29,5050,BVG-Beitrag,,,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,,,5460.0
TF30,1000,Monatslohn,,,,,,,5500.0,5500.0,5500.0,5500.0,5500.0,,,,,,27500.0
TF30,1168,Ferienauszahlung nach Austritt,,,,,,,,,,,,,500.0,,,,500.0
TF30,1960,Steuerbare Beteiligungsrechte,,,5500.0,5500.0,5500.0,5500.0,,,,,,,,,,,22000.0
TF30,5050,BVG-Beitrag,,,,,,,440.0,440.0,440.0,440.0,440.0,,,,,,2200.0
TF31,1000,Monatslohn,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,60000.0
TF31,1200,13. Monatslohn,,,,,,,,,,,,,,5000.0,,,5000.0
TF31,5050,BVG-Beitrag,,,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,,,3900.0
TF32,1000,Monatslohn,,,,,,,,,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,30000.0
TF32,5050,BVG-Beitrag,,,,,,,,,,,400.0,400.0,400.0,400.0,400.0,400.0,2400.0
TF33,1000,Monatslohn,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,60000.0
TF33,1200,13. Monatslohn,,,,,,,,,,,,,,5000.0,,,5000.0
TF33,3000,Kinderzulage,,,,,,,,,250.0,250.0,250.0,250.0,250.0,250.0,,,1500.0
TF33,3001,Kinderzulage Nachzahlung,,,,,,,,,750.0,,,,,,,,750.0
TF33,5050,BVG-Beitrag,,,379.17,379.17,379.17,379.17,379.17,379.17,379.17,379.17,379.17,379.17,379.17,379.17,,,4550.04
TF34,1000,Monatslohn,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,60000.0
TF34,1200,13. Monatslohn,,,,,,,,,,,,,,5000.0,,,5000.0
TF34,3000,Kinderzulage,,,,,,,,,215.0,215.0,215.0,215.0,215.0,215.0,,,1290.0
TF34,3001,Kinderzulage Nachzahlung,,,,,,,,,645.0,,,,,,,,645.0
TF35,1000,Monatslohn,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,60000.0
TF35,1200,13. Monatslohn,,,,,,,,,,,,,,5000.0,,,5000.0
TF35,1209,Bonuszahlung Vorjahr,,,,30000.0,,,,,,,,,,,,,30000.0
TF35,3000,Kinderzulage,,,,,,,,,,,,250.0,250.0,250.0,,,750.0
TF35,5050,BVG-Beitrag,,,379.17,379.17,379.17,379.17,379.17,379.17,379.17,379.17,433.33,433.33,433.33,433.33,,,4766.68
TF36,1000,Monatslohn,,,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,,,60000.0
TF36,1200,13. Monatslohn,,,,,,,,,,,,,,5000.0,,,5000.0
TF36,1209,Bonuszahlung Vorjahr,,,,30000.0,,,,,,,,,,,,,30000.0
TF36,3000,Kinderzulage,,,,,,,,,,,,215.0,215.0,215.0,,,645.0
TF36,5050,BVG-Beitrag,,,433.33,433.33,433.33,433.33,433.33,433.33,433.33,433.33,379.17,379.17,379.17,379.17,,,4983.32
TF37,1000,Monatslohn,10000.0,10000.0,5000.0,,,,,,,,,,,,,,25000.0
TF37,1001,Lohnkorrektur,-5000.0,,-2000.0,,,,,,,,,,,,,,-7000.0
TF37,1210,Bonuszahlung,,,2000.0,,,,,,,,,,,,,,2000.0
TF37,3000,Kinderzulage,250.0,250.0,250.0,,,,,,,,,,,,,,750.0
TF37,5050,BVG-Beitrag,800.0,800.0,400.0,,,,,,,,,,,,,,2000.0
TF38,1000,Monatslohn,,,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,,,36000.0
TF38,1200,13. Monatslohn,,,,,,,,,,,,,,3000.0,,,3000.0
TF38,1218,Provision,,,,,5000.0,,,6500.0,,,3800.0,,,5500.0,,,20800.0
TF38,5050,BVG-Beitrag,,,393.33,393.33,393.33,393.33,393.33,393.33,393.33,393.33,393.33,393.33,393.33,393.33,,,4719.96
TF38,6050,Pauschale Autospesen,,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,,,3600.0
