00VD               20250212                                                                                   
0601VDA0N       20250101001780100000005000 0000000000002336   
0601VDA0N       20250101001785100000005000 0000000000002339   
0601VDA0N       20250101001790100000005000 0000000000002343   
0601VDA0N       20250101001795100000005000 0000000000002347   
0601VDA0N       20250101001800100000005000 0000000000002350   
0601VDA0N       20250101001805100000005000 0000000000002353   
0601VDA0N       20250101001810100000005000 0000000000002357   
0601VDA0N       20250101001815100000005000 0000000000002361   
0601VDA0N       20250101001820100000005000 0000000000002364   
0601VDA0N       20250101001825100000005000 0000000000002368   
0601VDA0N       20250101001830100000005000 0000000000002371   
0601VDA0N       20250101001835100000005000 0000000000002374   
0601VDA0N       20250101001840100000005000 0000000000002378   
0601VDA0N       20250101001845100000005000 0000000000002382   
0601VDA0N       20250101001850100000005000 0000000000002384   
0601VDA0N       20250101001855100000005000 0000000000002388   
0601VDA0N       20250101001860100000005000 0000000000002392   
0601VDA0N       20250101001865100000005000 0000000000002395   
0601VDA0N       20250101001870100000005000 0000000000002398   
0601VDA0N       20250101001875100000005000 0000000000002403   
0601VDA0N       20250101001880100000005000 0000000000002406   
0601VDA0N       20250101001885100000005000 0000000000002410   
0601VDA0N       20250101001890100000005000 0000000000002414   
0601VDA0N       20250101001895100000005000 0000000000002418   
0601VDA0N       20250101001900100000005000 0000000000002420   
0601VDA0N       20250101001905100000005000 0000000000002425   
0601VDA0N       20250101001910100000005000 0000000000002429   
0601VDA0N       20250101001915100000005000 0000000000002431   
0601VDA0N       20250101001920100000005000 0000000000002436   
0601VDA0N       20250101001925100000005000 0000000000002439   
0601VDA0N       20250101001930100000005000 0000000000002443   
0601VDA0N       20250101001935100000005000 0000000000002447   
0601VDA0N       20250101001940100000005000 0000000000002450   
0601VDA0N       20250101001945100000005000 0000000000002453   
0601VDA0N       20250101001950100000005000 0000000000002457   
0601VDA0N       20250101001955100000005000 0000000000002461   
0601VDA0N       20250101001960100000005000 0000000000002464   
0601VDA0N       20250101001965100000005000 0000000000002468   
0601VDA0N       20250101001970100000005000 0000000000002472   
0601VDA0N       20250101001975100000005000 0000000000002474   
0601VDA0N       20250101001980100000005000 0000000000002479   
0601VDA0N       20250101001985100000005000 0000000000002483   
0601VDA0N       20250101001990100000005000 0000000000002485   
0601VDA0N       20250101001995100000005000 0000000000002490   
0601VDA0N       20250101002000100000050000 0000000000002507   
0601VDA0N       20250101002050100000050000 0000000000002541   
0601VDA0N       20250101002100100000050000 0000000000002574   
0601VDA0N       20250101002150100000050000 0000000000002604   
0601VDA0N       20250101002200100000050000 0000000000002633   
0601VDA0N       20250101002250100000050000 0000000000002663   
0601VDA0N       20250101002300100000050000 0000000000002692   
0601VDA0N       20250101002350100000050000 0000000000002720   
0601VDA0N       20250101002400100000050000 0000000000002746   
0601VDA0N       20250101002450100000050000 0000000000002772   
0601VDA0N       20250101002500100000050000 0000000000002796   
0601VDA0N       20250101002550100000050000 0000000000002822   
0601VDA0N       20250101002600100000050000 0000000000002846   
0601VDA0N       20250101002650100000050000 0000000000002869   
0601VDA0N       20250101002700100000050000 0000000000002892   
0601VDA0N       20250101002750100000050000 0000000000002913   
0601VDA0N       20250101002800100000050000 0000000000002935   
0601VDA0N       20250101002850100000050000 0000000000002955   
0601VDA0N       20250101002900100000050000 0000000000002976   
0601VDA0N       20250101002950100000050000 0000000000002997   
0601VDA0N       20250101003000100000050000 0000000000003017   
0601VDA0N       20250101003050100000050000 0000000000003037   
0601VDA0N       20250101003100100000050000 0000000000003055   
0601VDA0N       20250101003150100000050000 0000000000003073   
0601VDA0N       20250101003200100000050000 0000000000003090   
0601VDA0N       20250101003250100000050000 0000000000003108   
0601VDA0N       20250101003300100000050000 0000000000003125   
0601VDA0N       20250101003350100000050000 0000000000003140   
0601VDA0N       20250101003400100000050000 0000000000003156   
0601VDA0N       20250101003450100000050000 0000000000003171   
0601VDA0N       20250101003500100000050000 0000000000003186   
0601VDA0N       20250101003550100000050000 0000000000003200   
0601VDA0N       20250101003600100000050000 0000000000003213   
0601VDA0N       20250101003650100000050000 0000000000003227   
0601VDA0N       20250101003700100000050000 0000000000003241   
0601VDA0N       20250101003750100000050000 0000000000003253   
0601VDA0N       20250101003800100000050000 0000000000003266   
0601VDA0N       20250101003850100000050000 0000000000003278   
0601VDA0N       20250101003900100000050000 0000000000003289   
0601VDA0N       20250101003950100000050000 0000000000003301   
0601VDA0N       20250101004000100000050000 0000000000003313   
0601VDA0N       20250101004050100000050000 0000000000003323   
0601VDA0N       20250101004100100000050000 0000000000003334   
0601VDA0N       20250101004150100000050000 0000000000003345   
0601VDA0N       20250101004200100000050000 0000000000003355   
0601VDA0N       20250101004250100000050000 0000000000003365   
0601VDA0N       20250101004300100000050000 0000000000003375   
0601VDA0N       20250101004350100000050000 0000000000003384   
0601VDA0N       20250101004400100000050000 0000000000003394   
0601VDA0N       20250101004450100000050000 0000000000003403   
0601VDA0N       20250101004500100000050000 0000000000003411   
0601VDA0N       20250101004550100000050000 0000000000003420   
0601VDA0N       20250101004600100000050000 0000000000003429   
0601VDA0N       20250101004650100000050000 0000000000003437   
0601VDA0N       20250101004700100000050000 0000000000003445   
0601VDA0N       20250101004750100000050000 0000000000003453   
0601VDA0N       20250101004800100000050000 0000000000003460   
0601VDA0N       20250101004850100000050000 0000000000003469   
0601VDA0N       20250101004900100000050000 0000000000003476   
0601VDA0N       20250101004950100000050000 0000000000003483   
0601VDA0N       20250101005000100000050000 0000000000003491   
0601VDA0N       20250101005050100000050000 0000000000003498   
0601VDA0N       20250101005100100000050000 0000000000003505   
0601VDA0N       20250101005150100000050000 0000000000003511   
0601VDA0N       20250101005200100000050000 0000000000003517   
0601VDA0N       20250101005250100000050000 0000000000003525   
0601VDA0N       20250101005300100000050000 0000000000003531   
0601VDA0N       20250101005350100000050000 0000000000003537   
0601VDA0N       20250101005400100000050000 0000000000003543   
0601VDA0N       20250101005450100000050000 0000000000003549   
0601VDA0N       20250101005500100000050000 0000000000003556   
0601VDA0N       20250101005550100000050000 0000000000003562   
0601VDA0N       20250101005600100000050000 0000000000003567   
0601VDA0N       20250101005650100000050000 0000000000003573   
0601VDA0N       20250101005700100000050000 0000000000003578   
0601VDA0N       20250101005750100000050000 0000000000003584   
0601VDA0N       20250101005800100000050000 0000000000003589   
0601VDA0N       20250101005850100000050000 0000000000003594   
0601VDA0N       20250101005900100000050000 0000000000003599   
0601VDA0N       20250101005950100000050000 0000000000003605   
0601VDA0N       20250101006000100000050000 0000000000003610   
0601VDA0N       20250101006050100000050000 0000000000003614   
0601VDA0N       20250101006100100000050000 0000000000003619   
0601VDA0N       20250101006150100000050000 0000000000003624   
0601VDA0N       20250101006200100000050000 0000000000003628   
0601VDA0N       20250101006250100000050000 0000000000003633   
0601VDA0N       20250101006300100000050000 0000000000003638   
0601VDA0N       20250101006350100000050000 0000000000003642   
0601VDA0N       20250101006400100000050000 0000000000003647   
0601VDA0N       20250101006450100000050000 0000000000003651   
0601VDA0N       20250101006500100000050000 0000000000003656   
0601VDA0N       20250101006550100000050000 0000000000003659   
0601VDA0N       20250101006600100000050000 0000000000003664   
0601VDA0N       20250101006650100000050000 0000000000003668   
0601VDA0N       20250101006700100000050000 0000000000003672   
0601VDA0N       20250101006750100000050000 0000000000003676   
0601VDA0N       20250101006800100000050000 0000000000003679   
0601VDA0N       20250101006850100000050000 0000000000003683   
0601VDA0N       20250101006900100000050000 0000000000003687   
0601VDA0N       20250101006950100000050000 0000000000003691   
0601VDA0N       20250101007000100000050000 0000000000003695   
0601VDA0N       20250101007050100000050000 0000000000003698   
0601VDA0N       20250101007100100000050000 0000000000003702   
0601VDA0N       20250101007150100000050000 0000000000003705   
0601VDA0N       20250101007200100000050000 0000000000003709   
0601VDA0N       20250101007250100000050000 0000000000003712   
0601VDA0N       20250101007300100000050000 0000000000003715   
0601VDA0N       20250101007350100000050000 0000000000003719   
0601VDA0N       20250101007400100000050000 0000000000003722   
0601VDA0N       20250101007450100000050000 0000000000003725   
0601VDA0N       20250101007500100000050000 0000000000003729   
0601VDA0N       20250101007550100000050000 0000000000003732   
0601VDA0N       20250101007600100000050000 0000000000003734   
0601VDA0N       20250101007650100000050000 0000000000003736   
0601VDA0N       20250101007700100000050000 0000000000003738   
0601VDA0N       20250101007750100000050000 0000000000003740   
0601VDA0N       20250101007800100000050000 0000000000003742   
0601VDA0N       20250101007850100000050000 0000000000003744   
0601VDA0N       20250101007900100000050000 0000000000003746   
0601VDA0N       20250101007950100000050000 0000000000003748   
0601VDA0N       20250101008000100000050000 0000000000003750   
0601VDA0N       20250101008050100000050000 0000000000003752   
0601VDA0N       20250101008100100000050000 0000000000003754   
0601VDA0N       20250101008150100000050000 0000000000003756   
0601VDA0N       20250101008200100000050000 0000000000003757   
0601VDA0N       20250101008250100000050000 0000000000003759   
0601VDA0N       20250101008300100000050000 0000000000003761   
0601VDA0N       20250101008350100000050000 0000000000003762   
0601VDA0N       20250101008400100000050000 0000000000003764   
0601VDA0N       20250101008450100000050000 0000000000003766   
0601VDA0N       20250101008500100000050000 0000000000003768   
0601VDA0N       20250101008550100000050000 0000000000003770   
0601VDA0N       20250101008600100000050000 0000000000003771   
0601VDA0N       20250101008650100000050000 0000000000003773   
0601VDA0N       20250101008700100000050000 0000000000003775   
0601VDA0N       20250101008750100000050000 0000000000003776   
0601VDA0N       20250101008800100000050000 0000000000003778   
0601VDA0N       20250101008850100000050000 0000000000003779   
0601VDA0N       20250101008900100000050000 0000000000003780   
0601VDA0N       20250101008950100000050000 0000000000003782   
0601VDA0N       20250101009000100000050000 0000000000003783   
0601VDA0N       20250101009050100000050000 0000000000003785   
0601VDA0N       20250101009100100000050000 0000000000003786   
0601VDA0N       20250101009150100000050000 0000000000003789   
0601VDA0N       20250101009200100000050000 0000000000003790   
0601VDA0N       20250101009250100000050000 0000000000003791   
0601VDA0N       20250101009300100000050000 0000000000003793   
0601VDA0N       20250101009350100000050000 0000000000003794   
0601VDA0N       20250101009400100000050000 0000000000003796   
0601VDA0N       20250101009450100000050000 0000000000003797   
0601VDA0N       20250101009500100000050000 0000000000003798   
0601VDA0N       20250101009550100000050000 0000000000003799   
0601VDA0N       20250101009600100000050000 0000000000003801   
0601VDA0N       20250101009650100000050000 0000000000003802   
0601VDA0N       20250101009700100000050000 0000000000003803   
0601VDA0N       20250101009750100000050000 0000000000003804   
0601VDA0N       20250101009800100000050000 0000000000003805   
0601VDA0N       20250101009850100000050000 0000000000003808   
0601VDA0N       20250101009900100000050000 0000000000003809   
0601VDA0N       20250101009950100000050000 0000000000003810   
0601VDA0N       20250101010000100040000000 0000000000003811   
0601VDA1N       20250101000000100000320000 0100000000000000   
0601VDA1N       20250101000320100000005000 0100000000000007   
0601VDA1N       20250101000325100000005000 0100000000000008   
0601VDA1N       20250101000330100000005000 0100000000000018   
0601VDA1N       20250101000335100000005000 0100000000000023   
0601VDA1N       20250101000340100000005000 0100000000000031   
0601VDA1N       20250101000345100000005000 0100000000000040   
0601VDA1N       20250101000350100000005000 0100000000000048   
0601VDA1N       20250101000355100000005000 0100000000000059   
0601VDA1N       20250101000360100000005000 0100000000000069   
0601VDA1N       20250101000365100000005000 0100000000000081   
0601VDA1N       20250101000370100000005000 0100000000000095   
0601VDA1N       20250101000375100000005000 0100000000000109   
0601VDA1N       20250101000380100000005000 0100000000000123   
0601VDA1N       20250101000385100000005000 0100000000000137   
0601VDA1N       20250101000390100000005000 0100000000000150   
0601VDA1N       20250101000395100000005000 0100000000000166   
0601VDA1N       20250101000400100000005000 0100000000000178   
0601VDA1N       20250101000405100000005000 0100000000000194   
0601VDA1N       20250101000410100000005000 0100000000000209   
0601VDA1N       20250101000415100000005000 0100000000000224   
0601VDA1N       20250101000420100000005000 0100000000000242   
0601VDA1N       20250101000425100000005000 0100000000000255   
0601VDA1N       20250101000430100000005000 0100000000000270   
